店铺名称,店铺链接,商品名,价格,销量,省份
vivo官方旗舰店,//detail.tmall.com/item.htm?id=613489312787&ns=1&abbucket=3,【预约加购赢新品手机】vivoS6新品双模5G智能新款手机官方旗舰店官网正品vivos6全新限量版x30x27s5pro,9999,0,广东
荣耀官方旗舰店,//detail.tmall.com/item.htm?id=613757125454&ns=1&abbucket=3,【新品预约抢先加购】华为旗下荣耀30S新品5G手机3月30日线上发布敬请期待,999999,0,广东
荣耀官方旗舰店,//detail.tmall.com/item.htm?id=607826182160&ns=1&abbucket=3,【低至2999元24期免息】华为旗下荣耀V30双模5G麒麟990旗舰芯片李现同款PRO拍照手机官方V20全新,2999,10000,广东
天猫超市,//detail.tmall.com/item.htm?id=611275979103&ns=1&abbucket=3,【立减350元】HUAWEI/华为P30官方正品手机30倍数字变焦麒麟980,3388,523,上海
vivo官方旗舰店,//detail.tmall.com/item.htm?id=599251658651&ns=1&abbucket=3,【至高省600整点赠耳机】vivoZ5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5xz3x,1398,15000,广东
天猫超市,//detail.tmall.com/item.htm?id=611277439268&ns=1&abbucket=3,【立减150元】Huawei华为Mate305G版手机5g麒麟990官方正品mate305g,4499,157,上海
天猫超市,//detail.tmall.com/item.htm?id=611099431467&ns=1&abbucket=3,【拍立减200元】华为HONOR荣耀20PRO全面屏手机正品30倍数字变焦,2499,1024,上海
天猫超市,//detail.tmall.com/item.htm?id=611026067104&ns=1&abbucket=3,【立减150元】HUAWEI/华为nova65G全网通正品5g手机麒麟990,2999,276,上海
oppo官方旗舰店,//detail.tmall.com/item.htm?id=611822421717&ns=1&abbucket=3,【稀缺货源开售享24期免息】OPPOFindX2Pro骁龙865双模5G旗舰拍照手机120Hz超感屏闪充官方旗舰店正品,6999,2358,广东
天猫超市,//detail.tmall.com/item.htm?id=610553793902&ns=1&abbucket=3,【立减500元】HUAWEI/华为P30Pro手机50倍数字变焦,4488,104,上海
苏宁易购官方旗舰店,//detail.tmall.com/item.htm?id=606335538954&ns=1&abbucket=3,【限时享12期免息】HUAWEI/华为Mate30全网通5G智能手机麒麟990徕卡拍照手机旗舰新品官方正品,4499,10000,江苏
小米官方旗舰店,//detail.tmall.com/item.htm?id=608604219796&ns=1&abbucket=3,【6期免息+79元电源】红米k305g双模120Hz手机pro王一博同款索尼6400万四摄拍照学生智能小米官方旗舰店10,2599,10000,北京
绿森数码官方旗舰店,//detail.tmall.com/item.htm?id=613379333800&ns=1&abbucket=3,【24期免息】Apple/苹果iPhone112019新款苹果11新品iphone11apple智能拍照手机,5288,1538,浙江
苏宁易购官方旗舰店,//detail.tmall.com/item.htm?id=605258110430&ns=1&abbucket=3,【12期免息再减200元】Apple/苹果iPhone11移动联通电信4G全网通智能手机正品苏宁易购官方旗舰店苹果11,5499,25000,江苏
华为官方旗舰店,//detail.tmall.com/item.htm?id=609052049839&ns=1&abbucket=3,【6期免息】Huawei/华为nova6SE超级快充4800万AI四摄大运存智能手机华为官方旗舰店,2199,15000,广东
小米官方旗舰店,//detail.tmall.com/item.htm?id=608384662277&ns=1&abbucket=3,【6期免息】红米k30索尼6400万大电量120Hz智能游戏k20升级pro学生手机redmi小米官方旗舰店正品xiaomi,1699,20000,北京
华为官方旗舰店,//detail.tmall.com/item.htm?id=606306790423&ns=1&abbucket=3,【12期免息】Huawei/华为Mate305G麒麟990超感光徕卡5G智能手机mate305g官方旗舰店,4499,40000,广东
中国移动手机官方旗舰店,//detail.tmall.com/item.htm?id=602657142857&ns=1&abbucket=3,【限时享24期免息】苹果11Apple/iPhone11苹果手机2019新款全网通国行原装手机苹果正品xrxsmax,5499,1008,广东
oppo官方旗舰店,//detail.tmall.com/item.htm?id=611048808013&ns=1&abbucket=3,【购机享12期免息】OPPOReno3元气版双模5G骁龙全面屏智能手机VOOC闪充官方旗舰店opporeno3reno,2999,4508,广东
京合旗舰店,//detail.tmall.com/item.htm?id=608801385005&ns=1&abbucket=3,直降300元【24期免息]Huawei/华为nova65G/4G手机官方旗舰店nova5pro正品mate30全网通p30荣耀6se官网直降,2999,3091,安徽
广东电信亿品汇专卖店,//detail.tmall.com/item.htm?id=612733720450&ns=1&abbucket=3,当天发可省270+选原装手柄套装腾讯黑鲨游戏手机3代5G全网通黑鲨3官方旗舰骁龙865黑鲨3pro电竞2代语音2pro,3499,924,广东
京合旗舰店,//detail.tmall.com/item.htm?id=596753542423&ns=1&abbucket=3,顺丰当天发【24期免息】Huawei/华为nova5Pro手机官方旗舰店5g官网nova6直降6se新款mate30正品p30荣耀9x,2499,5000,安徽
三星官方旗舰店,//detail.tmall.com/item.htm?id=612749114113&ns=1&abbucket=3,【12期免息BTS同款】Samsung/三星GalaxyS20SM-G9810骁龙865官方旗舰店120Hz新品智能5G拍照手机正品国行,6999,2449,北京
