店铺名称,店铺链接,商品名,价格,销量,省份
vivo欧曙专卖店,//detail.tmall.com/item.htm?id=612436207834&ns=1&abbucket=16,【12期免息立减200】vivoz6新款双模5g手机全网通快充手机z6vivo手机vivoz6xz6vivo官方旗舰店正品iqoo3,2198,568,上海
vivo官方旗舰店,//detail.tmall.com/item.htm?id=599251658651&ns=1&abbucket=16,【限时至高省600赠耳机】vivoZ5新品限量版屏幕指纹千元机智能手机官方正品旗舰店官网学生新款vivos5z5x,1598,10000,广东
荣耀官方旗舰店,//detail.tmall.com/item.htm?id=607826182160&ns=1&abbucket=16,【8GB优惠600元享6期免息】华为旗下荣耀V30双模5G麒麟990旗舰芯片李现同款PRO拍照手机官方V20全新,2999,3489,广东
iqoo官方旗舰店,//detail.tmall.com/item.htm?id=613011338138&ns=1&abbucket=16,【百亿补贴省600】vivoiQOONeo855高通骁龙855处理器游戏手机官方vivoiqooneoiqooneovivo新iqoo限量版,2698,5000,广东
华为官方旗舰店,//detail.tmall.com/item.htm?id=616634509001&ns=1&abbucket=16,【新品上市】Huawei/华为nova75G全面屏6400万四摄麒麟985智能手机5g手机官方旗舰店,2999,25000,广东
iqoo官方旗舰店,//detail.tmall.com/item.htm?id=615755886965&ns=1&abbucket=16,【新品24期免息】vivoiQOONeo3高通骁龙865处理器5g双模游戏快充手机官方正品vivoiqooneoiqooneo3限量版,2698,20000,广东
华为官方旗舰店,//detail.tmall.com/item.htm?id=616887182313&ns=1&abbucket=16,【新品上市】Huawei/华为nova7SE5G超级快充40W高清四摄智能手机5g手机华为官方旗舰店,2399,20000,广东
荣耀官方旗舰店,//detail.tmall.com/item.htm?id=613757125454&ns=1&abbucket=16,【限时6期免息】华为旗下荣耀30S麒麟820双模5G全网通3倍光学变焦拍照上网手机Pro学生商务时尚手机官方,2399,20000,广东
小米官方旗舰店,//detail.tmall.com/item.htm?id=611224893062&ns=1&abbucket=16,【24期免息向往的生活同款】小米105g手机骁龙8651亿像素向往的生活拍照智能游戏小米官方旗舰店正品小米手机,3999,15000,北京
小米官方旗舰店,//detail.tmall.com/item.htm?id=616100703705&ns=1&abbucket=16,【新品3期免息】小米10青春版5G手机潜望式变焦向往的生活同款智能手机小米官方旗舰店正品小米手机米10青春,2299,10000,北京
苏宁易购官方旗舰店,//detail.tmall.com/item.htm?id=601280139630&ns=1&abbucket=16,【1199起】红米note8pro6400万四摄全面屏智能学生小米官方旗舰正品手机k30红米note7红米note8,1199,10000,江苏
苏宁易购官方旗舰店,//detail.tmall.com/item.htm?id=616553255427&ns=1&abbucket=16,【限时12期免息】Apple/苹果iPhoneSE全网通手机新品苏宁易购官方旗舰店Store国行正品iPhonese,3299,6500,江苏
广东电信亿品汇专卖店,//detail.tmall.com/item.htm?id=614162450908&ns=1&abbucket=16,【可减310元领150元券】华为HONOR荣耀30S新品5G手机全网通官方旗舰店新款20s降价正品20青春官网华为荣耀30s,2399,2719,广东
京合旗舰店,//detail.tmall.com/item.htm?id=616899370459&ns=1&abbucket=16,当天发【6期免息】Huawei/华为Nova7SE5G手机官方旗舰店nova5pro正品mate30直降nova6se新款P40pro荣耀,2399,2212,安徽
vivo官方旗舰店,//detail.tmall.com/item.htm?id=611631821448&ns=1&abbucket=16,【限时至高省300赠耳机】vivoZ6新品双模5g大电池手机骁龙官方正品旗舰店官网学生新款vivos6z5z5x,2098,6000,广东
天猫超市,//detail.tmall.com/item.htm?id=615272095573&ns=1&abbucket=16,华为HONOR荣耀30S手机麒麟820双模5G全网通3倍光学变焦官方旗舰店,2399,573,上海
蒙奇数码专营店,//detail.tmall.com/item.htm?id=617924778294&ns=1&abbucket=16,DOOV/朵唯X11电霸水滴全面屏安卓4G全网通学生价智能游戏手机官方正品128G老人老年pro送小米鼠oppo华为耳机,499,572,广东
三际数码官方旗舰店,//detail.tmall.com/item.htm?id=613608328649&ns=1&abbucket=16,可减310元新品当天发货/华为HONOR荣耀30S手机5G全网通官方旗舰店华为荣耀30pro荣耀华为9x手机正品20s官网30,2399,1668,山东
oppo官方旗舰店,//detail.tmall.com/item.htm?id=616290726826&ns=1&abbucket=16,【限时12期免息】OPPOA92s双模5G120Hz前置双摄后置4800W四摄全网通手机a92s手机a5a11a8,2199,4084,广东
尼凯恩旗舰店,//detail.tmall.com/item.htm?id=537659955795&ns=1&abbucket=16,【4G全网通】尼凯恩EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版按键智能手机,68.90,55000,广东
博海宇通数码专营店,//detail.tmall.com/item.htm?id=617152179016&ns=1&abbucket=16,当天发【6期免息】Huawei/华为nova7SE5G手机官方旗舰店正品新款华为nova7直降p40pro荣耀30s华为手机,2399,1372,北京
锦万数码专营,//detail.tmall.com/item.htm?id=616964421907&ns=1&abbucket=16,K-Touch/天语X11S升降摄像头迷你智能机卡片小手机全网通4G袖珍学生男女超小全面屏小屏备用正品抖音网红款,699,595,广东
深蓝港数码旗舰店,//detail.tmall.com/item.htm?id=614190738742&ns=1&abbucket=16,优惠310新品现货【5G手机+送礼】华为honor/荣耀30S全网通5G手机拍照官网正品手机新款官方旗舰店荣耀v30pro,2399,1954,广东
京合旗舰店,//detail.tmall.com/item.htm?id=617152863305&ns=1&abbucket=16,当天发[6期免息】Huawei/华为nova75G手机官方旗舰店nova6se新品P40pro官网nova7se直降mate30荣耀30s正品,2999,1505,安徽
同步飞扬数码专营店,//detail.tmall.com/item.htm?id=606698659201&ns=1&abbucket=16,优惠2450当天发24期免息HUAWEI/华为Mate30Pro5G手机官方旗舰店mate50正品5g版mate30pro新mate40直降p40,4739,405,广东
vivo航鹰专卖店,//detail.tmall.com/item.htm?id=616123092921&ns=1&abbucket=16,【24期免息】vivoiQOONeo35G全网通iqooneo3iq00neo3vivoiqoo3新品游戏爱酷vivoiqooneo3手机官方旗舰店,2698,1069,浙江
连盛数码专营店,//detail.tmall.com/item.htm?id=597267472510&ns=1&abbucket=16,当天发12期分期送多重礼Huawei/华为nova5i手机官方旗舰店nova6新品nova5pro直降mate30降价nova6se正品5G,1289,324,广东
创汇通达数码旗舰店,//detail.tmall.com/item.htm?id=616921962490&ns=1&abbucket=16,新品速发【6期免息+送豪礼】Huawei/华为nova7SE手机5G版华为官方旗舰华为手机正品直降nova6se官网荣耀30s,2399,523,北京
魅族官方旗舰店,//detail.tmall.com/item.htm?id=606547898634&ns=1&abbucket=16,【尊享3期免息】meizu/魅族16T骁龙855大屏旗舰6.5英寸全面屏4500mAh长续航游戏学生颜值手机官方旗舰店正品,2299,2106,广东
oppo官方旗舰店,//detail.tmall.com/item.htm?id=615406803750&ns=1&abbucket=16,【新品享24期免息晒单赢红包】OPPOAce2高通骁龙865双模5G全网通65W超闪全面屏游戏智能手机oppoace2,3999,5000,广东
中电盈讯数码专营店,//detail.tmall.com/item.htm?id=616944549229&ns=1&abbucket=16,小辣椒X9原装正品6.26英寸水滴全面屏安卓4g全网通八核智能手机老人老年指纹移动联通电信版128G游戏学生价手机,388,1469,广东
