店铺名称,店铺链接,商品名,价格,销量
苏宁易购官方旗舰店,//detail.tmall.com/item.htm?id=606336930383&skuId=4309883316687&standard=1&user_id=2616970884&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,HUAWEIHuaweiMate30Pro5G,6399.00,50000.0
苏宁易购官方旗舰店,//detail.tmall.com/item.htm?id=605258110430&skuId=4266775277497&standard=1&user_id=2616970884&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,Apple/苹果iPhone11,5999.00,150000.0
华为官方旗舰店,//detail.tmall.com/item.htm?id=589815124915&skuId=4042057565361&standard=1&user_id=2838892713&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,HUAWEIHUAWEIP30PRO,4488.00,14000.0
三星官方旗舰店,//detail.tmall.com/item.htm?id=587634209193&skuId=4480191679171&standard=1&user_id=370627083&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,Samsung/三星GalaxyS10SM-G9730超感观全视屏、超声波屏下指纹,4299.00,1749
小米官方旗舰店,//detail.tmall.com/item.htm?id=600630289146&skuId=4208790576546&standard=1&user_id=1714128138&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,Xiaomi/小米RedmiNote84800万超清四摄高通骁龙665,1099.00,82000.0
荣耀官方旗舰店,//detail.tmall.com/item.htm?id=598079959720&skuId=4480708178238&standard=1&user_id=1114511827&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,honor/荣耀荣耀9x,1299.00,140000.0
三星官方旗舰店,//detail.tmall.com/item.htm?id=587770474543&skuId=4313218293375&standard=1&user_id=370627083&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,Samsung/三星GalaxyS10+SM-G9750超感观全视屏、超声波屏下指纹,5099.00,1139
华为官方旗舰店,//detail.tmall.com/item.htm?id=601249956166&skuId=4380116898231&standard=1&user_id=2838892713&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,HUAWEI华为畅享10plus,1249.00,55000.0
OPPO官方旗舰店,//detail.tmall.com/item.htm?id=603070922282&skuId=4420793127771&standard=1&user_id=901409638&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,OPPOK5,1899.00,30000.0
vivo官方旗舰店,//detail.tmall.com/item.htm?id=604849700751&skuId=4488173891373&standard=1&user_id=883737303&cat_id=2&is_b=1&rn=899bf9234d8b06568579db8d32376340,vivoiQOONeo855,2298.00,22000.0
